0.000000	0.000000	0.000000	-0.399309	-0.094327	-0.231812	-0.186542	-0.020447	-0.007889	0.610642	-0.065085	-0.128646	-0.652582	0.003410	0.032060	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000
-0.019821	-0.051269	0.545235	-0.333721	-0.054370	-0.184653	-0.370917	-0.030442	0.006269	0.584805	-0.051468	-0.129559	-0.479623	0.014541	0.031740	3.292320	1.988531	2.304942	-9.462382	-0.495763	0.697334	-1.310121	0.692166	-0.049622	8.449669	0.550704	-0.010492
0.027417	0.197167	-0.168006	-0.268384	-0.017322	-0.145055	-0.573307	-0.039684	0.018927	0.558387	-0.037507	-0.130701	-0.333521	0.024738	0.031946	3.256014	1.784931	1.848997	-10.322279	-0.448282	0.607235	-1.308724	0.689916	-0.065452	6.839997	0.492881	0.017847
0.028084	0.149771	-0.480384	-0.202596	0.011126	-0.117876	-0.789254	-0.047683	0.029263	0.535984	-0.026167	-0.134026	-0.232217	0.033319	0.032819	3.318315	1.274058	1.183121	-10.930557	-0.383395	0.485404	-1.028980	0.507374	-0.213482	4.424401	0.406266	0.052727
0.012338	0.010656	-0.510297	-0.131457	0.024872	-0.105399	-1.012390	-0.054375	0.037067	0.524094	-0.021887	-0.142057	-0.185013	0.039994	0.034455	3.664915	0.472344	0.436865	-11.201562	-0.318682	0.358815	-0.425771	0.097944	-0.466020	1.663920	0.309285	0.091673
0.003639	-0.091197	-0.584008	-0.048057	0.020430	-0.106908	-1.235132	-0.059853	0.042464	0.527603	-0.028577	-0.153898	-0.191629	0.044735	0.036850	4.368377	-0.453825	-0.232844	-11.080959	-0.259459	0.241299	0.385672	-0.488902	-0.614950	-0.966708	0.213340	0.128462
0.014396	-0.026892	-0.739072	0.054337	-0.000801	-0.118441	-1.448864	-0.064223	0.045733	0.547418	-0.047627	-0.164284	-0.243192	0.047619	0.039775	5.392033	-1.240789	-0.665676	-10.515424	-0.205207	0.138817	1.177704	-1.099440	-0.458377	-3.054081	0.121416	0.150281
0.058432	0.416450	-1.011973	0.179741	-0.032211	-0.133470	-1.643685	-0.067552	0.047197	0.577746	-0.075808	-0.167178	-0.323186	0.048707	0.042724	6.564215	-1.641026	-0.748126	-9.437294	-0.153633	0.052671	1.577768	-1.482352	-0.025760	-4.223822	0.032357	0.143934
0.079474	0.751988	-1.593342	0.326589	-0.064381	-0.144376	-1.808428	-0.069853	0.047159	0.604304	-0.105458	-0.160255	-0.408837	0.048145	0.045128	7.572577	-1.558631	-0.446480	-7.788168	-0.102077	-0.019021	1.163782	-1.445524	0.467631	-4.197681	-0.046780	0.110556
0.066728	1.001869	-2.051012	0.486263	-0.088707	-0.144204	-1.931614	-0.071081	0.045858	0.608434	-0.128430	-0.144534	-0.476591	0.046387	0.046675	8.066176	-1.075310	0.182590	-5.572035	-0.047438	-0.079642	-0.180358	-1.023396	0.880926	-3.038222	-0.098530	0.066066
0.004472	0.613889	-3.658494	0.645368	-0.099696	-0.128640	-2.003399	-0.071130	0.043465	0.576981	-0.139207	-0.123628	-0.510474	0.044197	0.047361	7.858393	-0.363120	0.981895	-2.896926	0.013098	-0.132335	-2.055688	-0.364262	1.074899	-1.216034	-0.109569	0.024276
-0.044741	0.295263	-4.660499	0.790072	-0.095715	-0.097738	-2.017320	-0.069891	0.040141	0.508249	-0.135720	-0.103757	-0.506061	0.042418	0.047356	6.975898	0.380848	1.717074	0.051427	0.078469	-0.176683	-3.869764	0.349239	0.939116	0.683716	-0.078795	-0.007248
